run,kind,base,layers,params_M,tokenization,embedding,dropout,muon_lr,seed,events_M,epochs,max_doms,min_pulses,val_all,val_all_med,val_lt200,val_200_999,val_ge1000,val_ge1000_med,test_all,test_all_med,test_lt200,test_200_999,test_ge1000,test_ge1000_med
B09_10M_d256L24_mlr005_s41,base,,24,19.2,raw,none,0.1,0.005,41,10.0,5,128,,—,—,—,—,—,—,56.18,48.74,58.11,28.76,8.61,2.46
B09a_10M_hyb_d256L6_s17,base,,6,5.1,hybrid,linear,0.1,0.005,17,10.0,5,128,,—,—,—,—,—,—,56.81,49.74,58.76,29.34,8.27,2.35
B09b_10M_hyb_d256L24_s17,base,,24,19.2,hybrid,linear,0.1,0.005,17,10.0,5,128,,—,—,—,—,—,—,56.69,49.59,58.67,28.82,7.71,1.99
B12_10M_d256L24_mlr0071_s17,base,,24,19.2,raw,none,0.1,0.0071,17,10.0,5,128,,—,—,—,—,—,—,56.35,49.02,58.28,29.18,8.59,2.50
B13_10M_d256L24_mlr0035_s17,base,,24,19.2,raw,none,0.1,0.0035,17,10.0,5,128,,—,—,—,—,—,—,56.14,48.72,58.08,28.91,8.46,2.43
B14_10M_d256L36_mlr005_s17,base,,36,28.6,raw,none,0.1,0.005,17,10.0,5,128,,—,—,—,—,—,—,56.26,48.91,58.19,29.03,8.49,2.39
F01_130M_d256L24_s17,base,,24,19.2,raw,none,0.1,0.005,17,130.0,10,128,,55.45,47.77,57.43,27.37,6.09,1.53,55.54,47.87,57.53,27.41,6.55,1.59
F01ft_hi1000_md512_mlr2p5em4,finetune,F01_130M_d256L24_s17,24,19.2,raw,none,0.1,0.00025,17,,10,512,1000,5.51,1.02,—,—,5.51,1.02,23.00,3.17,—,27.14,5.89,1.04
F02_130M_d256L6_s17,base,,6,5.0,raw,none,0.1,0.005,17,130.0,10,128,,55.60,47.96,57.57,27.77,6.64,1.80,55.70,48.11,57.68,27.81,7.08,1.88
F02ft_hi1000_md512_mlr2p5em4,finetune,F02_130M_d256L6_s17,6,5.0,raw,none,0.1,0.00025,17,,10,512,1000,5.83,1.16,—,—,5.83,1.16,23.39,3.39,—,27.54,6.22,1.16
F03_130M_d256L24lin_s17,base,,24,19.2,raw,linear,0.1,0.005,17,130.0,10,128,,55.36,47.63,57.35,27.11,5.85,1.33,55.43,47.74,57.43,27.15,6.21,1.34
F03ft_hi1000_md1024_mlr2p5em4,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.00025,17,,10,1024,1000,5.19,0.89,—,—,5.19,0.89,22.65,2.96,—,26.75,5.68,0.92
F03ft_hi1000_md512_mlr1p25em4,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.000125,17,,10,512,1000,5.23,0.91,—,—,5.23,0.91,22.56,2.96,—,26.64,5.65,0.92
F03ft_hi1000_md512_mlr2p5em4,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.00025,17,,10,512,1000,55.58,47.99,57.61,26.80,5.19,0.90,22.64,2.97,—,26.75,5.62,0.91
F03ft_hi1000_md512_mlr2p5em4_20ep,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.00025,17,,20,512,1000,5.26,0.92,—,—,5.26,0.92,22.80,3.02,—,26.94,5.70,0.94
F03ft_hi1000_md512_mlr2p5em4_s41,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.00025,41,,10,512,1000,5.17,0.88,—,—,5.17,0.88,22.65,2.99,—,26.76,5.64,0.92
F03ft_hi1000_md512_mlr5em4,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.0005,17,,10,512,1000,5.23,0.91,—,—,5.23,0.91,22.85,3.01,—,27.00,5.68,0.94
F03ft_hi500_md512_mlr2p5em4,finetune,F03_130M_d256L24lin_s17,24,19.2,raw,linear,0.1,0.00025,17,,10,512,500,22.47,2.95,—,26.64,5.18,0.90,22.52,2.96,—,26.62,5.57,0.91
F04_130M_d256L12_s17,base,,12,9.7,raw,none,0.1,0.005,17,130.0,10,128,,55.52,47.83,57.50,27.46,6.24,1.57,55.58,47.88,57.57,27.48,6.61,1.61
F04ft_hi1000_md512_mlr2p5em4,finetune,F04_130M_d256L12_s17,12,9.7,raw,none,0.1,0.00025,17,,10,512,1000,5.53,1.02,—,—,5.53,1.02,23.00,3.16,—,27.14,5.85,1.05
F05_130M_d256L24_s41,base,,24,19.2,raw,none,0.1,0.005,41,130.0,10,128,,55.50,47.82,57.48,27.44,6.11,1.48,55.61,47.93,57.61,27.45,6.47,1.52
F05ft_hi1000_md512_mlr2p5em4,finetune,F05_130M_d256L24_s41,24,19.2,raw,none,0.1,0.00025,41,,10,512,1000,5.49,1.02,—,—,5.49,1.02,22.93,3.16,—,27.06,5.84,1.02
F06_130M_d256L36_s17,base,,36,28.6,raw,none,0.1,0.005,17,130.0,10,128,,55.49,47.83,57.47,27.36,6.13,1.46,55.59,47.91,57.59,27.39,6.44,1.52
F07_130M_hyb_d256L24_s17,base,,24,19.2,hybrid,linear,0.1,0.005,17,130.0,10,128,,55.94,48.44,57.96,27.32,5.61,1.14,56.01,48.51,58.04,27.32,5.96,1.16
F07ft_hi1000_md512_mlr2p5em4,finetune,F07_130M_hyb_d256L24_s17,24,19.2,hybrid,linear,0.1,0.00025,17,,10,512,1000,56.07,48.61,58.13,26.83,5.13,0.83,22.88,2.93,—,27.07,5.51,0.84
F08_130M_hyb_d256L6_s17,base,,6,5.1,hybrid,linear,0.1,0.005,17,130.0,10,128,,56.06,48.60,58.08,27.54,5.87,1.32,56.16,48.76,58.19,27.58,6.23,1.34
F08ft_hi1000_md512_mlr2p5em4,finetune,F08_130M_hyb_d256L6_s17,6,5.1,hybrid,linear,0.1,0.00025,17,,10,512,1000,5.29,0.91,—,—,5.29,0.91,23.09,3.10,—,27.29,5.71,0.94
F09_130M_d256L24_mlr0035_s17,base,,24,19.2,raw,none,0.1,0.0035,17,130.0,10,128,,55.43,47.74,57.40,27.46,6.12,1.52,55.49,47.80,57.48,27.44,6.47,1.54
F10_130M_hyb_d256L24_s41,base,,24,19.2,hybrid,linear,0.1,0.005,41,130.0,10,128,,55.91,48.33,57.93,27.28,5.54,1.12,55.98,48.49,58.02,27.33,5.94,1.14
F10ft_hi1000_md512_mlr2p5em4,finetune,F10_130M_hyb_d256L24_s41,24,19.2,hybrid,linear,0.1,0.00025,41,,10,512,1000,5.07,0.82,—,—,5.07,0.82,22.78,2.93,—,26.96,5.47,0.85
F11_130M_d256L6lin_s17,base,,6,5.1,raw,linear,0.1,0.005,17,130.0,10,128,,55.50,47.85,57.48,27.43,6.22,1.53,55.56,47.92,57.56,27.47,6.49,1.54
F11ft_hi1000_md512_mlr2p5em4,finetune,F11_130M_d256L6lin_s17,6,5.1,raw,linear,0.1,0.00025,17,,10,512,1000,5.50,0.98,—,—,5.50,0.98,23.03,3.17,—,27.19,5.85,1.05
F12_130M_d256L6_s41,base,,6,5.0,raw,none,0.1,0.005,41,130.0,10,128,,55.65,48.06,57.62,27.79,6.63,1.81,55.73,48.13,57.71,27.82,7.07,1.86
F13_130M_hyb_d256L6_drop0_s17,base,,6,5.1,hybrid,linear,0.0,0.005,17,130.0,10,128,,56.00,48.52,58.02,27.44,5.80,1.29,56.08,48.59,58.11,27.43,6.17,1.29
F13ft_hi1000_md512_mlr2p5em4,finetune,F13_130M_hyb_d256L6_drop0_s17,6,5.1,hybrid,linear,0.0,0.00025,17,,10,512,1000,5.35,0.91,—,—,5.35,0.91,23.04,3.08,—,27.23,5.74,0.95
F14_130M_d256L6_drop0_s17,base,,6,5.0,raw,none,0.0,0.005,17,130.0,10,128,,55.54,47.86,57.51,27.59,6.40,1.70,55.62,47.98,57.61,27.61,6.81,1.73
F14ft_hi1000_md512_mlr2p5em4,finetune,F14_130M_d256L6_drop0_s17,6,5.0,raw,none,0.0,0.00025,17,,10,512,1000,5.66,1.10,—,—,5.66,1.10,23.28,3.31,—,27.44,6.07,1.13
F15_130M_hyb_d256L12_s17,base,,12,9.8,hybrid,linear,0.1,0.005,17,130.0,10,128,,55.92,48.36,57.94,27.26,5.58,1.17,56.00,48.48,58.03,27.38,5.98,1.20
F15ft_hi1000_md512_mlr2p5em4,finetune,F15_130M_hyb_d256L12_s17,12,9.8,hybrid,linear,0.1,0.00025,17,,10,512,1000,5.13,0.85,—,—,5.13,0.85,22.81,2.94,—,26.97,5.60,0.89
F16_130M_hyb_d256L6_s41,base,,6,5.1,hybrid,linear,0.1,0.005,41,130.0,10,128,,56.08,48.58,58.08,27.60,5.88,1.35,56.17,48.71,58.19,27.65,6.26,1.37
F16ft_hi1000_md512_mlr2p5em4,finetune,F16_130M_hyb_d256L6_s41,6,5.1,hybrid,linear,0.1,0.00025,41,,10,512,1000,5.27,0.93,—,—,5.27,0.93,23.12,3.11,—,27.32,5.73,0.94
F17_130M_hyb_d256L24_mlr0035_s17,base,,24,19.2,hybrid,linear,0.1,0.0035,17,130.0,10,128,,55.91,48.37,57.93,27.33,5.54,1.14,55.97,48.46,58.01,27.22,5.88,1.16
